Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-07-14,1779.6007969808643,869.8028231263161,-8.6468175,115.1341324,-8.3337499,115.7000123,2.9682663642541063,22.729999542236328,0.060415755957365036,3611,,,,,64236182,2408360,
2019-07-15,1723.7546152980533,992.7287022992969,-8.6591511,115.1267224,-8.6432933,115.1365283,1.1217235769731042,13.479999542236328,0.26694250106811523,2455,,,,,81448311,1481433,
2019-07-16,1753.4103057289697,630.4816329479218,-8.6433839,115.134332,-8.6433243,115.1344323,0.5640186776487073,1.3300000429153442,0.2558199167251587,1832,,,,,82424429,1394473,254091
2019-07-17,1751.2067436233897,1493.6930760145187,-8.6617303,115.1266983,-8.6431088,115.1422714,2.609587704143997,13.15999984741211,0.3038270175457001,4693,,,,,77954897,1937080,
2019-07-18,1675.93146058033,315.42941123247147,-8.6536179,115.126668,-8.6433123,115.1365483,1.6788003006428989,15.9399995803833,0.010275117121636868,1461,,,,,75667334,687675,
2019-07-19,1681.4230722924763,424.51110339164734,-8.6555179,115.1254997,-8.6432924,115.1344702,0.6713075485687786,8.609999656677246,0.28636661171913147,1570,,,,,79488684,778822,
2019-07-20,2294.0308038854987,10626.923133440316,-8.7448771,103.8492383,1.3482236,115.1697844,30.400359882767404,240.47000122070312,0.05730700492858887,15820,,,,,57130654,10753866,
2019-07-21,2201.6124432079273,6548.50900632143,1.2514515,103.8150935,1.3490828,103.8525785,0.8479983820580623,8.59000015258789,0.3066836893558502,11471,,,,,68766360,9412839,
2019-07-22,2051.58426400637,4196.550370335579,-8.743125,103.8509633,1.339356,115.1850879,2.4458481498298523,52.0,0.2708170711994171,8258,,,,,69388323,6922697,
2019-07-23,1711.0056671614182,916.9532063007355,-8.6548935,115.1266753,-8.6432935,115.1371997,1.0041186867040697,15.569999694824219,0.2558199167251587,1344,,,,74262,69934445,756885,161500
2019-07-24,1831.1768569470962,1908.4091824293137,-8.6615143,115.1272159,-8.6432777,115.1343941,0.5943817060385485,1.3799999952316284,0.26694250106811523,3991,,,,,71654466,3264413,
2019-07-25,1836.8687477813996,2746.4790799617767,-8.6616944,115.128294,-8.6359554,115.1573245,0.6736392429364735,14.850000381469727,0.023913590237498283,3962,,,,628963,77127318,2686424,
2019-07-26,1761.545829091339,1298.300579726696,-8.6620805,115.1260242,-8.6433195,115.1365671,1.6610656365591536,14.989999771118164,0.2460351288318634,2813,,,,,75054297,2108688,
2019-07-27,1721.8975785419677,1225.4483950138092,-8.6618062,115.1282681,-8.642406,115.1386353,2.8949336361108204,13.319999694824219,0.33959680795669556,2533,,,,,81726644,1450611,
2019-07-28,1788.5128341678644,1898.61928743124,-8.6484436,115.1087653,-8.624814,115.1435282,1.1572216286926735,18.75,0.5,3919,,,,,80321514,2556279,
2019-07-29,1708.861883758706,325.25427865982056,-8.6598602,115.1266471,-8.6433224,115.1344618,0.6177844725633757,1.0817203521728516,0.5299999713897705,743,,,,581925,79420119,450985,70673
2019-07-30,1803.466944704912,3250.1496745944023,-8.6625736,115.1269663,-8.6431077,115.1424313,0.7385958187469605,14.6899995803833,0.25252765417099,3388,,,,799197,79542287,1947763,
2019-07-31,1806.9716360980829,2173.656437546015,-8.6638519,115.1266642,-8.6433668,115.1357223,0.6797646009658583,2.1700000762939453,0.24177992343902588,4898,,,,,77668530,2862658,
2019-08-01,1781.754185207687,1461.495787024498,-8.6617288,115.1283882,-8.6432946,115.1345802,0.7982075297712801,12.430000305175781,0.25972986221313477,2768,,,,,79092600,2004617,192805
2019-08-02,1739.6449519957478,1049.975016117096,-8.6591852,115.1253681,-8.6433473,115.1363862,1.411732792108778,15.880000114440918,0.167254239320755,1928,,,,,80328873,1745180,
2019-08-03,1738.19547595303,1154.1570273637772,-8.66172,115.1283128,-8.6433548,115.1373124,2.071592053352939,17.600000381469727,0.26178407669067383,2433,,,,,80210351,1721121,
2019-08-04,1699.624237465795,381.6230049133301,-8.6510785,115.1339501,-8.6432784,115.1353912,0.7649107970586064,1.9299999475479126,0.28292685747146606,1291,,,,,80670092,1080923,
2019-08-05,1671.3748991353723,244.13976955413818,-8.6550485,115.1309449,-8.6415933,115.146174,0.8686630214047042,16.989999771118164,0.33367815613746643,1233,,,,,78822988,612045,
2019-08-06,1780.1839059340437,2869.8616639375687,-8.661469,115.1264989,-8.6432948,115.1365766,0.7897375064957561,13.890000343322754,0.13858263194561005,3126,,,,578126,80419590,1799930,
