Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/14/18,walking,walking,2018-02-14T22:37:34-07:00,2018-02-14T22:38:27-07:00,53,0.025,80,2
2/14/18,transport,transport,2018-02-14T22:46:19-07:00,2018-02-14T22:51:59-07:00,340,1.001,0,0
2/15/18,transport,transport,2018-02-15T09:26:00-07:00,2018-02-15T09:31:56-07:00,356,1.827,0,0
2/15/18,walking,walking,2018-02-15T13:42:51-07:00,2018-02-15T13:43:24-07:00,33,0.016,50,1
2/15/18,transport,transport,2018-02-15T13:46:21-07:00,2018-02-15T13:50:53-07:00,272,2.296,0,0
2/15/18,transport,transport,2018-02-15T17:02:10-07:00,2018-02-15T17:11:02-07:00,532,3.711,0,0
2/15/18,walking,walking,2018-02-15T17:16:46-07:00,2018-02-15T17:17:12-07:00,26,0.012,40,1
2/15/18,walking,walking,2018-02-15T17:18:03-07:00,2018-02-15T17:32:26-07:00,863,0.608,1172,58
2/15/18,walking,walking,2018-02-15T17:34:33-07:00,2018-02-15T17:46:32-07:00,719,0.377,1146,36
2/15/18,walking,walking,2018-02-15T17:59:00-07:00,2018-02-15T18:05:26-07:00,386,0.223,467,21
2/15/18,transport,transport,2018-02-15T18:05:26-07:00,2018-02-15T18:16:55-07:00,689,1.589,0,0
2/15/18,transport,transport,2018-02-15T22:34:10-07:00,2018-02-15T22:37:43-07:00,213,1.481,0,0
2/16/18,transport,transport,2018-02-16T09:19:02-07:00,2018-02-16T09:28:14-07:00,552,1.886,0,0
2/16/18,transport,transport,2018-02-16T13:02:02-07:00,2018-02-16T13:08:10-07:00,368,2.263,0,0
2/16/18,walking,walking,2018-02-16T15:41:06-07:00,2018-02-16T15:54:06-07:00,780,0.425,937,41
2/16/18,transport,transport,2018-02-16T15:54:06-07:00,2018-02-16T16:01:46-07:00,460,0.250,0,0
2/16/18,walking,walking,2018-02-16T16:01:46-07:00,2018-02-16T16:13:18-07:00,692,0.377,540,36
2/16/18,transport,transport,2018-02-16T16:13:19-07:00,2018-02-16T16:17:14-07:00,235,0.209,0,0
2/16/18,walking,walking,2018-02-16T16:17:23-07:00,2018-02-16T16:19:09-07:00,106,0.050,160,5
2/16/18,walking,walking,2018-02-16T16:53:39-07:00,2018-02-16T17:11:32-07:00,1073,0.713,2295,68
2/16/18,transport,transport,2018-02-16T17:20:37-07:00,2018-02-16T17:26:00-07:00,323,1.640,0,0
2/16/18,transport,transport,2018-02-16T19:14:19-07:00,2018-02-16T19:18:52-07:00,273,2.440,0,0
2/16/18,walking,walking,2018-02-16T19:25:48-07:00,2018-02-16T19:26:14-07:00,26,0.012,40,1
2/16/18,transport,transport,2018-02-16T20:51:13-07:00,2018-02-16T21:07:53-07:00,1000,2.289,0,0
2/16/18,walking,walking,2018-02-16T22:38:46-07:00,2018-02-16T22:39:19-07:00,33,0.016,50,1
2/16/18,transport,transport,2018-02-16T22:42:02-07:00,2018-02-16T22:48:03-07:00,361,1.224,0,0
2/17/18,transport,transport,2018-02-17T22:20:57-07:00,2018-02-17T22:24:40-07:00,223,0.305,0,0
2/18/18,transport,transport,2018-02-18T09:29:42-07:00,2018-02-18T09:32:43-07:00,181,1.019,0,0
2/18/18,walking,walking,2018-02-18T12:01:40-07:00,2018-02-18T12:01:59-07:00,19,0.009,30,1
2/18/18,walking,walking,2018-02-18T17:54:45-07:00,2018-02-18T17:57:28-07:00,163,0.127,273,12
2/18/18,walking,walking,2018-02-18T17:58:28-07:00,2018-02-18T18:08:16-07:00,588,0.490,983,47
2/18/18,walking,walking,2018-02-18T18:13:19-07:00,2018-02-18T18:14:05-07:00,46,0.022,70,2
