Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-08-17,,,,1853.5925917052023,8.0,8,-8.6617431,115.1236444,-8.6539401,115.1330248,5006,2617.164252728224,1.1378386552130133,15.640000343322754,0.1601611077785492,64,496354,78516829,3105781,
2019-08-18,,,,1866.6200394980156,3.0,3,-8.66108,115.1251481,-8.6544815,115.1315967,5377,3259.643557190895,1.3002005313994882,12.369999885559082,0.028912311419844627,60,,70928272,3852689,
2019-08-19,,,,1817.6477569077783,6.0,6,-8.6604972,115.127248,-8.6570088,115.1310073,4769,2178.5406409054995,1.3224093636908236,15.15999984741211,0.013170712627470493,60,,74737604,3039858,
2019-08-20,,,,1951.5234304728176,32.0,32,-8.6618515,115.1271255,-8.6524369,115.1332055,4272,3239.073022477329,1.215955905872242,20.350000381469727,0.20421543717384338,78,1955974,74841224,3170659,
2019-08-21,,,,1702.3383118293507,,,-8.6617254,115.1289583,-8.6580536,115.1329419,1280,1022.6702169179916,3.5629911627625876,16.200000762939453,0.26213395595550537,13,,82301081,893552,70087
2019-08-22,,,,1686.4066705667876,,,,,,,1398,214.87298703193665,1.893569855157962,8.75,0.271770179271698,13,,80970761,852056,
2019-08-23,,,,1705.165715289116,,,,,,,1209,463.40607583522797,0.856906430726661,10.510000228881836,0.25140947103500366,16,,79826301,1172897,
2019-08-24,,,,2124.0270001252625,15.0,15,-8.7789654,115.261864,-8.6709496,115.6227609,11923,4990.979847311974,6.5347366482496225,54.0,0.02944946102797985,159,,62684969,8056195,30223
2019-08-25,,,,2076.561192744841,39.0,39,-8.8171007,115.5816478,-8.773511,115.6051815,7778,11575.282707214355,1.5534936553882481,17.239999771118164,0.16926951706409454,149,2502639,60911396,4115454,
2019-08-26,,,,1716.7079856888347,,,-8.6607418,115.1289023,-8.658213,115.1313912,2369,894.9733501672745,0.8172316940080095,13.09000015258789,0.27901169657707214,25,,71826712,1364475,
2019-08-27,,,,1751.9405823351813,1.0,1,,,,,2798,1082.5200296640396,0.6166860575162896,2.0399999618530273,0.27806511521339417,37,,76985719,1949261,
2019-08-28,,,,1791.7834544596599,14.0,14,-8.6619416,115.1285638,-8.6580699,115.1331137,3121,1530.4838436841965,0.7826344874420417,16.889999389648438,0.2675723731517792,44,706380,76210935,1855333,
2019-08-29,,,,1756.7561312838131,,,-8.6602593,115.1284712,-8.6578851,115.1309399,2995,1692.6302148401737,1.3611031317705018,16.149999618530273,0.2409900426864624,36,,75877709,1712617,130346
