Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-03-20,151,2333.4162369635,8087.792206287384,41.0,41,-8.6391069,115.1310566,-8.5139669,115.2641401,1.1673359825229352,25.0,0.10191787034273148,12594,,,,,69644717,11600492,
2019-03-21,106,2097.326341774326,5921.638335347176,27.0,27,-8.5182382,115.2539691,-8.4951472,115.2639474,0.9470623799523001,6.329999923706055,0.13567450642585754,9292,,,,,77584205,7681914,
2019-03-22,47,1841.4147660427604,2034.9040892720222,9.0,9,-8.518275,115.2614095,-8.5157869,115.2653652,1.3338831576262478,12.729999542236328,0.19126571714878082,3816,,,,,78367539,3434337,
2019-03-23,72,1994.0277817532744,4457.854902148247,34.0,34,-8.6593527,115.1254957,-8.6531256,115.1331157,0.5840978331757823,8.470000267028809,0.08488326519727707,2918,,,,2272534,80892948,2997561,236957
2019-03-24,37,1817.454033087091,1639.1229320764542,2.0,2,-8.6525485,115.1329969,-8.6516702,115.1340479,0.6742986533079939,3.9218146800994873,0.045038722455501556,2877,,,,,82764092,3036641,
2019-03-25,90,1965.870468556753,5928.443986773491,30.0,30,-8.6598835,115.1303904,-8.6452839,115.1412159,0.8754816711654227,12.100000381469727,0.05760490149259567,4698,,,,1839260,77933487,3533573,
2019-03-26,20,1730.260997002276,912.4283113479614,,,-8.65537,115.1317637,-8.6530715,115.1331938,0.6735714143292983,1.0073368549346924,0.14029113948345184,1657,,,,,83044257,1589426,
2019-03-27,58,1837.1648983718467,2524.5359234809875,12.0,12,-8.6555865,115.1317798,-8.6531195,115.1326325,0.5266272806721417,4.378407955169678,0.2055438607931137,3289,,,,779726,82400077,2530149,
2019-03-28,58,1867.1020228251275,4084.5653241872787,8.0,8,-8.6595275,115.1302614,-8.6526408,115.1330316,1.0707317924285216,11.010000228881836,0.01873525232076645,4048,,,,544810,81530681,3278204,
2019-03-29,26,1765.8860942029403,1013.2361872196198,2.0,2,-8.655459,115.1259719,-8.6536697,115.1273865,1.165140763251864,5.179999828338623,0.12005091458559036,2518,,,,,83784584,2134136,
2019-03-30,123,2190.8114984645736,4897.023953437805,43.0,43,-8.6635736,115.1308492,-8.6479758,115.1391488,0.7777044032119623,8.739999771118164,0.011736256070435047,5812,,,,2652505,74694012,6397619,
2019-03-31,42,1752.633671019719,1657.4824010133743,1.0,1,-8.6563252,115.1266268,-8.6463782,115.1364947,0.6586875010624239,6.0,0.25480207800865173,3438,,,,,75957184,3045211,
2019-04-01,88,2035.962581972005,5206.995069980621,32.0,32,-8.6643729,115.1271982,-8.6527588,115.1465708,0.7537267543691899,9.460000038146973,0.11099700629711151,3995,,,,2095406,79347271,4423090,
2019-04-02,60,1908.6854884387865,4686.95638692379,38.0,38,-8.6593913,115.1268203,-8.6514116,115.1347261,1.1530573983066223,3.8735499382019043,0.08251726627349854,1924,,,,2390746,81243682,1924163,
2019-04-03,57,1898.3416347678651,2779.9950264692307,7.0,7,-8.6615583,115.1281672,-8.6524744,115.1337225,0.5493987257145323,7.840000152587891,0.27380311489105225,3992,,,,404265,81254828,3946975,
2019-04-04,57,1841.8014594833912,2041.8479756116867,2.0,2,-8.6595456,115.1282861,-8.6463687,115.1365063,0.5893614714258262,7.679999828338623,0.0650210976600647,4149,,,,,79846138,3440755,
2019-04-05,8,1693.1236337231574,228.4904546737671,,,,,,,1.0384008447186988,4.900000095367432,0.2558199167251587,762,,,,,84442399,973026,
2019-04-06,192,2481.1472564640676,11958.916425585747,108.0,108,-8.6597864,115.1222354,-8.2641687,115.183389,1.1829023599338258,12.119999885559082,0.024219201877713203,7961,,,,6167915,38960079,7458035,
2019-04-07,22,1789.8141602049707,3831.0258328318596,7.0,7,-8.6550751,115.130863,-8.6453613,115.1411696,0.6122646387627427,1.5099999904632568,0.28645190596580505,1121,,,,484127,74024361,1957332,
