"No value = similar as previous day for: Driving, Store and Stand/mov-ing around",,,,,,,,,,,
year,month,day,time reading paper,time on ubuntu,Driving,Store,Riding Car Eyes,Comment,scooter driving,scooter driving 2,scooter riding
,,29,,,25,,,,,,
,,30,,,14,,,,,,
,,31,,,20,,,,,,
,8,1,,,20,,,,,,
,,2,,,20,,,,,,
,,3,,,20,,,,,,
,,4,,,45,,,,,,
,,5,,,35,,,,,,
,,6,,,20,,,,,,
,,7,,,20,,,,,,
,,8,,,30,,,,,,
,,9,,,20,,,,,,
,,10,,,180,,,,,,
,,11,,,180,,90,,,,
,,12,,,,,60,,,,
,,13,,,23,,25,,,,
,,14,,,40,,,,,,
,,15,,,20,,,,,,
,,16,,,20,,,,,,
,,17,,,20,,,,,,
,,18,,,40,,,,,,
,,19,,,20,,,,,,
,,20,,,20,,,,,,
,,21,,,30,,,,,,
,,22,,,25,,,,,,
,,23,,,25,,,,,,
,,24,,,25,,,,,,
,,25,,,90,,,,,,
,,26,,,120,,,,,,
,,27,,,150,,,,,,
,,28,,,25,,,,,,
,,29,,,25,,,,,,
,,30,,,25,,,,,,
,,31,,,25,,,,,,
,9,1,,,100,,,,,,
,,2,,,15,,120,,,,
,,3,,,0,,,,,,
,,4,,,0,,30,,,,
,,5,,,0,,25,,,,
,,6,,,10,,180,,,,
,,7,,,30,,,,,,
,,8,,,120,,,,,,
,,9,,,25,,,,,,
,,10,,,35,,,,,,
,,11,,,55,,,,,,
,,12,,,30,,,,,,
,,13,,,35,,,,,,
,,14,,,25,,,,,,
,,15,,,80,,,,,,
,,16,,,25,,,,,,
,,17,,,25,,,,,,
,,18,,,25,,,,,,
,,19,,,30,,,,,,
,,20,,,30,,,,,,
,,21,,,30,,,,,,
,,22,,,25,,,,,,
,,23,,,25,,,,,,
,,24,,,25,,,,,,
,,25,,,240,,,,,,
,,26,,,30,,,,,,
,,27,,,25,,,,,,
,,28,,,25,,,,,,
,,29,,,35,,,,,,
,,30,,,25,,,,,,
,10,1,,,35,,,,,,
,,2,,,25,,,,,,
,,3,,,25,,,,,,
,,4,,,30,,,,,,
,,5,,,30,,,,,,
,,6,,,30,,,,,,
,,7,,,25,,,,,,
,,8,,,25,,,,,,
,,9,,,20,,,,,,
,,10,,,25,,,,,,
,,11,,,25,,,,,,
,,12,,,25,,,,,,
,,13,,,25,,,,,,
,,14,,,25,,,,,,
,,15,,,260,,,,,,
,,16,,,30,,,,,,
,,17,,,20,,,,,,
,,18,,,25,,,,,,
,,19,,,25,,,,,,
,,20,,,25,,,,,,
,,21,,,25,,,,,,
,,22,,,25,,,,,,
,,23,,,150,,,,,,
,,24,,,20,,,,,,
,,25,,,20,,,,,,
,,26,,,20,,,,,,
,,27,,,25,,,,,,
,,28,,,50,,,,,,
,,29,,,20,,,,,,
,,30,,,20,,,,,,
,,31,,,20,,,,,,
,11,1,,,90,,,,,,
,,2,,,30,,,,,,
,,3,,,240,,,,,,
,,4,,,180,,,,,,
,,5,,,10,,30,,,,
,,6,,,0,,40,,,,
,,7,,,10,,25,,,,
,,8,,,20,,,,,,
,,9,,,15,,,,,,
,,10,,,15,,,,,,
,,11,,,15,,,,,,
,,12,,,15,,,,,,
,,13,,,25,,,,,,
,,14,,,30,,,,,,
,,15,,,20,,,,,,
,,16,,,90,,,,,,
,,17,,,25,,,,,,
,,18,,,20,,,,,,
,,19,,,25,,,,,,
,,20,,,25,,,,,,
,,21,,,25,,,,,,
,,22,,,25,,,,,,
,,23,,,20,,,,,,
,,24,,,30,,,,,,
,,25,,,30,,,,,,
,,26,,,35,,,,,,
,,27,,,30,,,,,,
,,28,,,30,,,,,,
,,29,,,20,,,,,,
,,30,,,30,,,,,,
,12,1,,,20,,,,,,
,,2,,,30,,,,,,
,,3,,,30,,,,,,
,,4,,,30,,,,,,
,,5,,,25,,,,,,
,,6,,,30,,,,,,
,,7,,,25,,,,,,
,,8,,,25,,,,,,
,,9,,,25,,,,,,
,,10,,,25,,,,,,
,,11,,,25,,,,,,
,,12,,,25,,,,,,
,,13,,,25,,,,,,
,,14,,,25,,,,,,
,,15,,,25,,,,,,
,,16,,,15,,,,,,
,,17,,,35,,,,,,
,,18,,,40,,,,,,
,,19,,,20,,,,,,
,,20,,,25,,,,,,
,,21,,,25,,,,,,
,,22,,,25,,,,,,
,,23,,,400,,,,,,
,,24,,,40,,,,,,
,,25,,,30,,,,,,
,,26,,,40,,,,,,
,,27,,,45,,,,,,
,,28,,,27,,,,,,
,,29,,,45,,,,,,
,,30,,,40,,,,,,
,,31,,,30,,,,,,
2019,1,1,,,20,,,,,,
,,2,,,40,,,,,,
,,3,,,40,,,,,,
,,4,,,50,,,,,,
,,5,,,20,,,,,,
,,6,,,20,,,,,,
,,7,,,45,,,,,,
,,8,,,25,,,,,,
,,9,,,25,,,,,,
,,10,,,45,,,,,,
,,11,,,45,,,,,,
,,12,,,10,,,,,,
,,13,,,45,,,,,,
,,14,,,20,,,,,,
,,15,,,25,,,,,,
,,16,,,480,,,,,,
,,17,,,45,,,,,,
,,18,,,45,,,,,,
,,19,,,40,,,,,,
,,20,,,40,,,,,,
,,21,,,18,,,,,,
,,22,,,20,,,,,,
,,23,,,100,,,,,,
,,24,,,100,,,,,,
,,25,,,15,,,,,,
,,26,,,28,,,,,,
,,27,,,80,,,,,,
,,28,,,60,,,,,,
,,29,,,20,,,,,,
,,30,,,360,,,,,,
,,31,,,40,,,,,,
,2,1,,,30,,,,,,
,,2,,,38,,,,,,
,,3,,,35,,,,,,
,,4,,,0,,,,,,
,,5,,,0,,,,,,
,,6,,,0,,,,,,
,,7,,,0,,30,,,,
,,8,,,0,,10,,,,
,,9,,,25,,,,,,
,,10,,,150,,,,,,
,,11,,,250,,,,,,
,,12,,,0,,60,,,,
,,13,,,,,30,,,,
,,14,,,,,30,,,,
,,15,,,15,,,,,,
,,16,,,,,,,,,
,,17,,,,,30,,,,
,,18,,,10,,,,,,
,,19,,,,,15,,,,
,,20,,,,,15,,,,
,,21,,,,,4,,,,
,,22,,,10,,,,,,
,,23,,,,,,,,,
,,24,,,,,10,,,,
,,25,,,20,,100,,,,
,,26,,,110,,30,,,,
,,27,,,,,,,,,
,,28,,,,,,,,,
,3,1,,,,,,,,,
,,2,,,,,30,,,,
,,3,,,,,,,,,
,,4,,,30,,,,,,
,,5,,,,,,,,,
,,6,,,,,,,,,
,,7,,,,,,,,,
,,8,,,25,,,,,,
,,9,,,20,,,,,,
,,10,,,,,40,,,,
,,11,,,,,25,,,,
,,12,,,,,,,,,
,,13,,,,,,,,,
,,14,,,,,,,,,
,,15,,,20,,90,,10,,
,,16,,,,,,,30,,
,,17,,,,,,,50,,
,,18,,,,,,,30,,
,,19,,,,,,,40,,
,,20,,,,,40,,,,
,,21,,,,,20,,,,
,,22,,,,,60,,,,
,,23,,,,,,,30,,
,,24,,,,,,,20,,
,,25,,,,,,,20,,
,,26,,,,,,,20,,
,,27,,,,,,,18,,
,,28,,,,,,,25,,
,,29,,,,,,,25,,
,,30,,,,,,,25,,
,,31,,,,,,,25,,
,4,1,,,,,,,35,,
,,2,,,,,,,18,,
,,3,,,,,,,25,,
,,4,,,,,,,23,,
,,5,,,,,,,20,,
,,6,,,,,,,190,30,
,,7,,,,,,,20,,
,,8,,,,,,,20,,
,,9,,,,,,,25,,
,,10,,,20,,60,,5,,
,,11,,,120,,,,,,
,,12,,,60,,,,,,
,,13,,,120,,,,,,
,,14,,,60,,,,,,
,,15,,,,,30,,20,,
,,16,,,,,,,20,,
,,17,,,,,,,15,,
,,18,,,,,,,15,,
,,19,,,,,,,15,,
,,20,,,,,,,10,,
,,21,,,,,,,35,,
,,22,,,,,,,20,,
,,23,,,,,,,20,,
,,24,,,,,,,20,,
,,25,,,,,,,20,,
,,26,,,,,,,20,,
,,27,,,,,,,20,,
,,28,,,200,,,,,,
,,29,,,60,,,,,,
,,30,,,220,,,,,,
,5,1,,,,,,,30,,
,,2,,,,,,,20,,
,,3,,,,,,,130,,
,,4,,,,,,,25,,
,,5,,,,,,,35,,
,,6,,,,,,,15,,
,,7,,,,,,,20,,
,,8,,,,,,,20,,
,,9,,,,,,,20,,
,,10,,,,,,,20,,
,,11,,,,,,,60,,
,,12,,,,,,,170,60,
,,13,,,,,,,30,,
,,14,,,,,,,20,,
,,15,,,,,,,20,,
,,16,,,,,,,20,,
,,17,,,,,,,20,,
,,18,,,,,,,20,,
,,19,,,,,,,20,,
,,20,,,,,,,20,,
,,21,,,,,,,20,,
,,22,,,,,,,20,,
,,23,,,,,,,20,,
,,24,,,,,,,20,,
,,25,,,240,,,,,,
,,26,,,,,,,,,
,,27,,,180,,,,,,
,,28,,,,,,,20,,
,,29,,,,,,,20,,
,,30,,,,,,,20,,
,,31,,,,,,,20,,
,6,1,,,,,,,20,,
,,2,,,,,,,20,,
,,3,,,,,,,20,,
,,4,,,,,,,20,,
,,5,,,,,,,20,,
,,6,,,,,,,20,,
,,7,,,,,,,20,,
,,8,,,,,,,20,,
,,9,,,,,,,20,,
,,10,,,,,,,20,,
,,11,,,,,,,20,,
,,12,,,,,70,,20,,
,,13,,,,,,,,,
,,14,,,,,,,,,
,,15,,,,,20,,,,
,,16,,,,,,,,,
,,17,,,160,,,,,,
,,18,,,70,,,,,,
,,19,,,300,,,,,,
,,20,,,,,,,,,
,,21,,,,,,,,,
,,22,,,,,,,,,
,,23,,,,,30,,,,
,,24,,,,,,,45,,
,,25,,,,,,,20,,
,,26,,,,,,,20,,
,,27,,,,,,,25,,
,,28,,,,,,,25,,
,,29,,,,,,,25,,
,,30,,,,,,,25,,
,7,1,,,,,,,25,,
,,2,,,,,,,25,,
,,3,,,,,,,25,,
,,4,,,,,,,30,,
,,5,,,,,,,30,,
,,6,,,,,,,30,,
,,7,,,,,,,30,,
,,8,,,,,,,30,,
,,9,,,,,,,30,,
,,10,,,,,,,30,,
,,11,,,,,,,30,,
,,12,,,,,,,80,,
,,13,,,240,,,,,,
,,14,,,210,,,,,,
,,15,,,,,,,20,,
,,16,,,,,,,20,,
,,17,,,,,,,25,,
,,18,,,,,,,25,,
,,19,,,,,,,25,,
,,20,,,,,20,,,,
,,21,,,,,,,,,
,,22,,,,,,,,,
,,23,,,,,,,30,,
,,24,,,,,,,30,,
,,25,,,,,,,30,,
,,26,,,,,,,30,,
,,27,,,,,,,30,,
,,28,,,,,,,40,,
,,29,,,,,,,40,,
,,30,,,,,,,25,,
,,31,,,,,,,25,,
,8,1,,,,,,,25,,
,,2,,,,,,,25,,
,,3,,,,,,,25,,
,,4,,,,,,,25,,
,,5,,,,,,,25,,
,,6,,,,,,,25,,
,,7,,,,,,,25,,
,,8,,,,,120,,25,,
,,9,,,,,,,25,,
,,10,,,180,,,,,,
,,11,,,180,,,,,,
,,12,,,,,,,30,,
,,13,,,,,,,25,,
,,14,,,,,,,25,,
,,15,,,,,,,25,,
,,16,,,,,,,25,,
,,17,,,,,,,25,,
,,18,,,,,,,25,,
,,19,,,,,,,45,,
,,20,,,,,,,45,,
,,21,,,,,,,25,,
,,22,,,,,,,25,,
,,23,,,,,,,25,,
,,24,,,,,45,,100,60,
,,25,,,,,45,,100,60,
,,26,,,,,,,25,,
,,27,,,,,,,25,,
,,28,,,,,,,25,,
,,29,,,,,,,25,,
,,30,,,,,,,25,,
,,31,,,,,,,25,,
,9,1,,,,,,,25,,
,,2,,,,,,,25,,
,,3,,,,,,,25,,
,,4,,,,,,,25,,
,,5,,,,,,,25,,
,,6,,,,,,,25,,
,,7,,,,,,,25,,
,,8,,,,,120,,80,120,
,,9,,,,,,,25,,
,,10,,,,,,,25,,
,,11,,,,,,,25,,
,,12,,,,,,,25,,
,,13,,,,,,,25,,
,,14,,,,,,,25,,
,,15,,,,,120,,,,
,,16,,,,,,,,,
,,17,,,,,30,,,,
,,18,,,,,,,,,
,,19,,,18,,,,,,
,,20,,,90,,,,,,
,,21,,,5,,60,,,,
,,22,,,90,,20,,,,
,,23,,,15,,,,,,
,,24,,,15,,,,,,
,,25,,,,,,,,,
,,26,,,,,,,,,
,,27,,,70,,,,,,
,,28,,,,,,,,,
,,29,,,180,,15,,,,
,,30,,,210,,,,,,
,10,1,,,10,,,,,,
,,2,,,10,,,,,,
,,3,,,35,,,,,,
,,4,,,10,,,,,,
,,5,,,10,,,,,,
,,6,,,,,30,,,,
,,7,,,,,10,,,,
,,8,,,180,,,,,,
,,9,,,20,,50,,,,
,,10,,,,,,,15,,
,,11,,,,,,,35,,
,,12,,,,,,,20,,
,,13,,,,,,,25,,
,,14,,,,,,,20,,
,,15,,,,,,,20,,
,,16,,,,,,,20,,
,,17,,,,,,,20,,
,,18,,,,,,,20,,
,,19,,,,,,,20,,
,,20,,,,,,,20,,
,,21,,,,,,,35,,
,,22,,,,,,,30,,
,,23,,,,,,,35,,
,,24,,,,,,,30,,
,,25,,,,,,,40,,
,,26,,,,,,,40,,
,,27,,,,,,,40,,
,,28,,,,,,,40,,
,,29,,,,,,,10,,
,,30,,,,,,,30,,
,,31,,,,,,,30,,
,11,1,,,,,,,17,,
,,2,,,,,,,30,,
,,3,,,,,,,10,,
,,4,,,,,,,35,,
,,5,,,,,,,65,,
,,6,,,,,,,40,,
,,7,,,,,,,10,,
,,8,,,,,,,20,,
,,9,,,,,,,12,,
,,10,,,,,,,8,,
,,11,,,,,,,8,,
,,12,,,,,,,8,,
,,13,,,,,,,20,,
,,14,,,,,,,30,,
,,15,,,,,,,22,,
,,16,,,,,,,22,,
,,17,,,,,,,12,,
,,18,,,,,,,12,,
,,19,,,,,,,15,,
,,20,,,,,,,24,,
,,21,,,,,,,24,,
,,22,,,,,,,8,,
,,23,,,,,,,80,,
,,24,,,,,,,12,,
,,25,,,,,,,22,,
,,26,,,,,,,20,,
,,27,,,,,,,24,,
,,28,,,,,,,25,,
,,29,,,,,,,12,,
,,30,,,,,,,45,,
,12,1,,,,,,,15,,
,,2,,,,,,,15,,
,,3,,,,,,,37,,
,,4,,,,,,,20,,
,,5,,,,,,,20,,
,,6,,,,,,,15,,
,,7,,,,,20,,18,,
,,8,,,,,60,,,,
,,9,,,,,110,,20,,
,,10,,,,,,,20,,
,,11,,,,,,,20,,
,,12,,,,,,,10,,
,,13,,,,,,,10,,
,,14,,,,,,,10,,
,,15,,,,,,,10,,
,,16,,,,,,,10,,
,,17,,,,,,,10,,
,,18,,,,,,,10,,
,,19,,,,,200,,5,,
,,20,,,,,,,20,,
,,21,,,,,,,20,,
,,22,,,,,,,25,,
,,23,,,,,,,20,,
,,24,,,,,,,25,,
,,25,,,,,,,25,,
,,26,,,,,,,45,,
,,27,,,,,,,17,,
,,28,,,,,,,25,,
,,29,,,,,,,23,,
,,30,,,,,,,25,,
,,31,,,,,40,,25,,
2020,1,1,,,,,20,,,,
,,2,,,,,30,,,,
,,3,,,,,20,,,,
,,4,,,,,20,,,,
,,5,,,,,,,40,,
,,6,,,,,30,,,,
,,7,,,,,60,,,,
,,8,,,,,60,,,,
,,9,,,,,15,,,,
,,10,,,,,15,,,,
,,11,,,,,50,,,,
,,12,,,,,5,,,,
,,13,,,,,5,,,,
,,14,,,,,10,,,,
,,15,,,,,5,,,,
,,16,,,,,70,,,,
,,17,,,,,50,,,,
,,18,,,,,70,,,,
,,19,,,,,10,,,,
,,20,,,,,20,,,,
,,21,,,,,45,,,,
,,22,,,,,30,,,,
,,23,,,,,30,,,,
,,24,,,,,20,,,,
,,25,,,200,,30,,,,
,,26,,,150,,,,,,
,,27,,,40,,,,,,
,,28,,,130,,,,,,
,,29,,,110,,,,,,
,,30,,,,,40,,,,
,,31,,,,,,,20,,
,2,1,,,,,,,25,,
,,2,,,,,,,10,,
,,3,,,,,,,8,,23
,,4,,,,,,,4,,40
,,5,,,,,,,7,,20
,,6,,,,,,,7,,28
,,7,,,,,,,7,,
,,8,,,,,,,23,,
,,9,,,,,,,8,,
,,10,,,,,,,8,,
,,11,,,,,,,7,10,
,,12,,,,,,,18,50,
,,13,,,,,,,18,,
,,14,,,,,,,8,10,
,,15,,,,,,,8,,50
,,16,,,,,,,26,,7
,,17,,,,,,,7,,7
,,18,,,,,,,7,,
,,19,,,,,,,25,,5
,,20,,,,,,,7,,
,,21,,,,,,,15,,120
,,22,,,,,,,7,,
,,23,,,,,,,7,,60
,,24,,,,,,,5,,15
,,25,,,,,,,6,,17
,,26,,,,,,,7,,
,,27,,,,,,,11,,
,,28,,,,,,,30,,
,,29,,,,,,,23,,
,3,1,,,,,,,25,,
,,2,,,,,,,14,,35
,,3,,,,,,,12,,
,,4,,,,,,,12,,
,,5,,,,,,,12,,
,,6,,,,,,,12,,
,,7,,,,,,,12,,
,,8,,,,,,,8,,
,,9,,,,,,,8,,
,,10,,,,,,,60,,
,,11,,,,,,,13,,
,,12,,,,,50,,12,,8
,,13,,,,,30,,,,
,,14,,,15,,,,,,
,,15,,,,,,,,,
,,16,,,,,,,,,
,,17,,,120,,,,,,
,,18,,,60,,,,,,
,,19,,,10,,,,,,
,,20,,,60,,,,,,
,,21,,,10,,,,,,
,,22,,,,,,,,,
,,23,,,10,,,,,,
,,24,,,90,,,,,,
,,25,,,10,,,,,,
,,26,,,8,,,,,,
,,27,,,8,,,,,,
,,28,,,8,,,,,,
,,29,,,8,,,,,,
,,30,,,12,,,,,,
,,31,,,10,,,,,,
,4,1,,,10,,,,,,
,,2,,,10,,,,,,
,,3,,,10,,,,,,
,,4,,,10,,,,,,
,,5,,,10,,,,,,
,,6,,,100,,,,,,
,,7,,,10,,,,,,
,,8,,,10,,,,,,
,,9,,,10,,,,,,
,,10,,,10,,,,,,
,,11,,,10,,,,,,
,,12,,,15,,,,,,
,,13,,,15,,,,,,
,,14,,,0,,,,,,
,,15,,,0,,,,,,
,,16,,,10,,,,,,
,,17,,,10,,,,,,
,,18,,,10,,,,,,
,,19,,,10,,,,,,
,,20,,,10,,,,,,
,,21,,,10,,,,,,
,,22,,,20,,,,,,
,,23,,,12,,,,,,
,,24,,,10,,,,,,
,,25,,,10,,,,,,
,,26,,,10,,,,,,
,,27,,,25,,,,,,
,,28,,,10,,,,,,
,,29,,,10,,,,,,
,,30,,,15,,,,,,
,5,1,,,0,,,,,,
,,2,,,12,,,,,,
,,3,,,0,,,,,,
,,4,,,20,,,,,,
,,5,,,20,,,,,,
,,6,,,10,,,,,,
,,7,,,10,,,,,,
,,8,,,10,,,,,,
,,9,,,0,,,,,,
,,10,,,0,,,,,,
,,11,,,10,,,,,,
,,12,,,10,,,,,,
,,13,,,13,,,,,,
,,14,,,14,,,,,,
,,15,,,0,,,,,,
,,16,,,5,,,,,,
,,17,,,0,,10,,,,
,,18,,,10,,,,,,
,,19,,,10,,,,,,
,,20,,,10,,,,,,
,,21,,,10,,,,,,
,,22,,,100,,,,,,
,,23,,,10,,,,,,
,,24,,,10,,,,,,
,,25,,,10,,,,,,
,,26,,,18,,,,,,
,,27,,,20,,,,,,
,,28,,,0,,,,,,
,,29,,,25,,,,,,
,,30,,,20,,,,,,
,,31,,,20,,,,,,
,6,1,,,20,,,,,,
,,2,,,20,,,,,,
,,3,,,10,,,,,,
,,4,,,20,,,,,,
,,5,,,0,,120,,,,
,,6,,,6,,,,,,
,,7,,,0,,120,,,,
,,8,,,10,,,,,,
,,9,,,45,,30,,,,
,,10,,,60,,,,,,
,,11,,,40,,,,,,
,,12,,,40,,,,,,
,,13,,,80,,,,,,
,,14,,,100,,,,,,
,,15,,,65,,,,,,
,,16,,,50,,,,,,
,,17,,,45,,,,,,
,,18,,,40,,,,,,
,,19,,,40,,,,,,
,,20,,,80,,,,,,
,,21,,,50,,,,,,
,,22,,,55,,,,,,
,,23,,,45,,,,,,
,,24,,,24,,,,,,
,,25,,,40,,,,,,
,,26,,,25,,,,,,
,,27,,,80,,,,,,
,,28,,,60,,,,,,
,,29,,,15,,,,,,
,,30,,,15,,,,,,
,7,1,,,45,,,,,,
,,2,,,70,,,,,,
,,3,,,25,,,,,,
,,4,,,70,,,,,,
,,5,,,50,,,,,,
,,6,,,20,,,,,,
,,7,,,45,,,,,,
,,8,,,60,,,,,,
,,9,,,20,,,,,,
,,10,,,60,,,,,,
,,11,,,40,,,,,,
,,12,,,40,,,,,,
,,13,,,70,,,,,,
,,14,,,20,,,,,,
,,15,,,20,,,,,,
,,16,,,28,,,,,,
,,17,,,0,,,,,,
,,18,,,25,,,,,,
,,19,,,45,,,,,,
,,20,,,60,,,,,,
,,21,,,20,,,,,,
,,22,,,90,,,,,,
,,23,,,30,,,,,,
,,24,,,30,,,,,,
,,25,,,100,,,,,,
,,26,,,30,,,,,,
,,27,,,110,,,,,,
,,28,,,15,,,,,,
,,29,,,15,,,,,,
,,30,,,110,,,,,,
,,31,,,100,,,,,,
,8,1,,,38,,,,,,
,,2,,,35,,,,,,
,,3,,,60,,,,,,
,,4,,,0,,15,,,,
,,5,,,,,15,,,,
,,6,,,,,7,,,,
,,7,,,,,,,,,
,,8,,,,,,,,,
,,9,,,,,,,,,
,,10,,,,,,,,,
,,11,,,,,,,,,
,,12,,,,,,,,,
,,13,,,,,,,,,
,,14,,,,,10,,,,
,,15,,,,,40,,,,
,,16,,,,,,,,,
,,17,,,90,,,,,,
,,18,,,80,,,,,,
,,19,,,60,,,,,,
,,20,,,30,,,,,,
,,21,,,120,,,,,,
,,22,,,45,,,,,,
,,23,,,50,,,,,,
,,24,,,30,,,,,,
,,25,,,60,,20,,,,
,,26,,,,,10,,,,
,,27,,,,,10,,,,
,,28,,,,,10,,,,
,,29,,,,,10,,,,
,,30,,,60,,10,,,,
,,31,,,28,,,,,,
,9,1,,,15,,,,,,
,,2,,,45,,30,,,,
,,3,,,25,,,,,,
,,4,,,10,,,,,,
,,5,,,90,,,,,,
,,6,,,20,,,,,,
,,7,,,15,,,,,,
,,8,,,15,,,,,,
,,9,,,15,,,,,,
,,10,,,12,,,,,,
,,11,,,10,,,,,,
,,12,,,120,,,,,,
,,13,,,90,,20,,,,
,,14,,,15,,,,,,
,,15,,,10,,,,,,
,,16,,,10,,,,,,
,,17,,,10,,,,,,
,,18,,,10,,,,,,
,,19,,,15,,,,,,
,,20,,,80,,,,,,
,,21,,,10,,,,,,
,,22,,,80,,,,,,
,,23,,,20,,,,,,
,,24,,,15,,,,,,
,,25,,,10,,,,,,
,,26,,,,,130,,,,
,,27,,,,,130,,,,
,,28,,,10,,,,,,
,,29,,,80,,,,,,
,,30,,,22,,,,,,
,10,1,,,80,,,,,,
,,2,,,0,,,,,,
,,3,,,10,,,,,,
,,4,,,20,,,,,,
,,5,,,15,,,,,,
,,6,,,24,,,,,,
,,7,,,15,,,,,,
,,8,,,80,,,,,,
,,9,,,10,,,,,,
,,10,,,20,,,,,,
,,11,,,20,,,,,,
,,12,,,,,,,,,
,,13,,,50,,,,,,
,,14,,,22,,,,,,
,,15,,,22,,,,,,
,,16,,,,,,,,,
,,17,,,80,,,,,,
,,18,,,20,,,,,,
,,19,,,20,,,,,,
,,20,,,20,,,,,,
,,21,,,20,,,,,,
,,22,,,10,,,,,,
,,23,,,8,,,,,,
,,24,,,15,,,,,,
,,25,,,15,,,,,,
,,26,,,25,,,,,,
,,27,,,45,,,,,,
,,28,,,120,,,,,,
,,29,,,20,,,,,,
,,30,,,14,,,,,,
,,31,,,15,,,,,,
,11,1,,,15,,,,,,
,,2,,,20,,,,,,
,,3,,,30,,,,,,
,,4,,,20,,,,,,
,,5,,,20,,,,,,
,,6,,,100,,,,,,
,,7,,,20,,,,,,
,,8,,,20,,,,,,
,,9,,,40,,,,,,
,,10,,,12,,,,,,
,,11,,,12,,,,,,
,,12,,,16,,,,,,
,,13,,,15,,,,,,
,,14,,,15,,,,,,
,,15,,,22,,,,,,
,,16,,,15,,,,,,
,,17,,,25,,,,,,
,,18,,,60,,,,,,
,,19,,,12,,,,,,
,,20,,,,,40,,,,
,,21,,,,,15,,,,
,,22,,,,,40,,27,,5
,,23,,,,,,,27,,
,,24,,,,,,,10,,
,,25,,,,,,,15,,
,,26,,,,,,,4,,20
,,27,,,,,,,17,,
,,28,,,,,,,17,,10
,,29,,,,,,,7,,10
,,30,,,,,,,5,,
,12,1,,,,,,,7,,10
,,2,,,,,,,7,,10
,,3,,,,,,,10,,30
,,4,,,,,,,15,,
,,5,,,,,,,10,,
,,6,,,,,,,14,,
,,7,,,,,,,15,,
,,8,,,,,,,0,,
,,9,,,,,,,6,,
,,10,,,,,,,15,,13
,,11,,,,,,,,,150
,,12,,,,,,,10,,8
,,13,,,,,,,20,,
,,14,,,,,,,3,,
,,15,,,,,,,34,,
,,16,,,,,,,17,,8
,,17,,,,,,,5,,25
,,18,,,,,,,4,,20
,,19,,,,,,,20,,
,,20,,,,,,,13,,
,,21,,,,,,,10,,
,,22,,,,,,,25,,
,,23,,,220,,,,,,
,,24,,,150,,,,8,,
,,25,,,,,,,10,,17
,,26,,,,,,,6,,9
,,27,,,,,,,45,,
,,28,,,,,,,24,,100
,,29,,,,,,,10,,10
,,30,,,,,,,30,,
,,31,,,,,,,20,,
2021,1,1,,,,,,,25,,8
,,2,,,,,,,15,,10
,,3,,,,,,,20,,
,,4,,,,,,,10,,
,,5,,,,,,,20,,
,,6,,,,,,,15,,
,,7,,,,,,,15,,10
,,8,,,,,,,15,,
,,9,,,,,,,25,,
,,10,,,,,,,18,,
,,11,,,,,,,10,,90
,,12,,,,,,,25,,
,,13,,,,,,,10,,
,,14,,,,,,,15,,
,,15,,,,,,,23,,
,,16,,,,,,,18,,
,,17,,,,,,,2,,
,,18,,,,,,,14,,
,,19,,,,,,,17,,
,,20,,,,,,,22,,
,,21,,,,,,,10,,
,,22,,,,,,,22,,
,,23,,,,,,,15,,
,,24,,,160,,,,,,
,,25,,,,,,,20,,
,,26,,,,,,,12,,
,,27,,,,,,,12,,
,,28,,,,,,,12,,90
,,29,,,40,,35,,,,
,,30,,,250,,,,,,
,,31,,,5,,,,30,,10
,2,1,,,,,,,60,,50
,,2,,,200,,20,,,,10
,,3,,,,,70,,10,,6
,,4,,,,,,,20,,
,,5,,,,,,,45,,
,,6,,,,,,,10,,
,,7,,,,,,,20,,
,,8,,,,,,,10,,
,,9,,,,,,,25,,
,,10,,,,,,,15,,
,,11,,,,,,,20,,
,,12,,,,,,,22,,
,,13,,,,,,,14,,
,,14,,,,,,,28,,
,,15,,,,,,,20,,
,,16,,,,,,,20,,
,,17,,,,,,,28,,
,,18,,,,,,,18,,
,,19,,,,,,,30,,
,,20,,,,,,,5,,
,,21,,,,,,,,,80
,,22,,,,,,,15,,60
,,23,,,,,,,8,,20
,,24,,,,,,,10,,
,,25,,,,,,,25,,
,,26,,,,,,,13,,
,,27,,,,,,,20,,
,,28,,,,,,,22,,
,3,1,,,,,,,20,,
,,2,,,,,,,20,,
,,3,,,,,,,12,,
,,4,,,,,,,24,,
,,5,,,140,,,,,,50
,,6,,,60,,120,,,,
,,7,,,80,,,,,,
,,8,,,140,,,,,,50
,,9,,,,,,,15,,
,,10,,,,,,,24,,
,,11,,,,,,,14,,
,,12,,,,,,,20,,
,,13,,,,,,,25,,
,,14,,,,,,,,,
,,15,,,,,,,7,,120
,,16,,,,,,,12,,
,,17,,,,,,,22,,
,,18,,,,,,,22,,
,,19,,,,,,,20,,
,,20,,,,,,,9,,
,,21,,,,,,,20,,
,,22,,,,,,,12,,
,,23,,,,,,,10,,
,,24,,,,,,,10,,
,,25,,,,,,,15,,
,,26,,,,,,,9,,
,,27,,,,,,,10,,
,,28,,,,,,,10,,
,,29,,,,,,,10,,
,,30,,,,,,,8,,
,,31,,,,,,,10,,
,4,1,,,,,,,10,,
,,2,,,,,,,18,,
,,3,,,,,,,10,,
,,4,,,,,,,18,,
,,5,,,,,,,20,,
,,6,,,,,,,9,,
,,7,,,,,,,8,,
,,8,,,,,,,19,,
