Heure de début,Heure de fin,Calories (kcal),Distance (m),Fréquence cardiaque moyenne (bpm),Fréquence cardiaque maximale (bpm),Fréquence cardiaque minimale (bpm),Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Natation"" (ms)"
13:00:00.000-04:00,13:15:00.000-04:00,18.49999959049391,,,,,38.912620544433594,-120.00642395019531,38.912620544433594,-120.00642395019531,1.202663779258728,1.202663779258728,1.202663779258728,,,,,,900000,,
13:15:00.000-04:00,13:30:00.000-04:00,18.49999959049391,,,,,38.912574768066406,-120.00635528564453,38.912574768066406,-120.00635528564453,1.1115754842758179,1.1115754842758179,1.1115754842758179,,,,,,900000,,
13:30:00.000-04:00,13:45:00.000-04:00,18.49999959049391,,,,,38.912559509277344,-120.00648498535156,38.91261291503906,-120.00628662109375,1.1620590843708924,2.318361520767212,0.5166236758232117,3,,,,,900000,,
13:45:00.000-04:00,14:00:00.000-04:00,18.49999959049391,,,,,38.91242980957031,-120.0063247680664,38.912559509277344,-120.0062026977539,1.3608867076723006,2.086552143096924,0.5508175492286682,,,,,,900000,,
14:00:00.000-04:00,14:15:00.000-04:00,18.49999959049391,,,,,38.91257095336914,-120.00636291503906,38.912818908691406,-120.00597381591797,,,,,,,,,900000,,
14:15:00.000-04:00,14:30:00.000-04:00,18.49999959049391,,,,,38.912437438964844,-120.0064468383789,38.91256332397461,-120.00621795654297,6.448100566864014,6.448100566864014,6.448100566864014,1,,,,,900000,,
14:30:00.000-04:00,14:45:00.000-04:00,18.49999959049391,,,,,38.912261962890625,-120.00634765625,38.912864685058594,-120.00618743896484,0.7952562613852756,0.9626006484031677,0.6539113521575928,3,,,,,900000,,
14:45:00.000-04:00,15:00:00.000-04:00,18.49999959049391,,,,,38.91242980957031,-120.0063705444336,38.91243362426758,-120.00635528564453,2.2198424339294434,2.2198424339294434,2.2198424339294434,1,,,,,900000,,
15:00:00.000-04:00,15:15:00.000-04:00,18.49999959049391,,,,,38.91244125366211,-120.00635528564453,38.91259765625,-120.00627136230469,1.3273986818296388,1.9773213863372803,0.6161168813705444,,,,,,900000,,
15:15:00.000-04:00,15:30:00.000-04:00,18.49999959049391,,,,,38.91246032714844,-120.00630187988281,38.91249465942383,-120.00628662109375,1.346179723739624,1.346179723739624,1.346179723739624,,,,,,900000,,
15:30:00.000-04:00,15:45:00.000-04:00,18.49999959049391,,,,,38.91245651245117,-120.00642395019531,38.91261291503906,-120.00628662109375,0.9096262736653334,1.0412012338638306,0.7783315777778625,,,,,,900000,,
15:45:00.000-04:00,16:00:00.000-04:00,18.49999959049391,,,,,38.91239547729492,-120.00629425048828,38.912452697753906,-120.00629425048828,1.346291184425354,1.346291184425354,1.346291184425354,,,,,,900000,,
16:00:00.000-04:00,16:15:00.000-04:00,18.49999959049391,,,,,38.91248321533203,-120.00646209716797,38.912696838378906,-120.0063247680664,,,,5,,,,,900000,,
16:15:00.000-04:00,16:30:00.000-04:00,18.49999959049391,,,,,38.912479400634766,-120.00634002685547,38.91256332397461,-120.00630950927734,1.048093557357788,1.048093557357788,1.048093557357788,,,,,,900000,,
16:30:00.000-04:00,16:45:00.000-04:00,18.49999959049391,,,,,38.912479400634766,-120.00645446777344,38.91273498535156,-120.00628662109375,1.1394611096885687,1.182708740234375,1.0962207317352295,3,,,,,900000,,
16:45:00.000-04:00,17:00:00.000-04:00,18.49999959049391,,,,,38.912559509277344,-120.00739288330078,38.913352966308594,-120.0048828125,1.5873946234895708,2.5739073753356934,0.6007495522499084,,,,,,900000,,
17:00:00.000-04:00,17:15:00.000-04:00,22.414295554763463,,,,,38.93067932128906,-120.06498718261719,38.93598175048828,-120.03121948242188,4.6404105957668325,21.071603775024414,0.601331889629364,8,,,,,91550,68009,
17:15:00.000-04:00,17:30:00.000-04:00,62.664223664746835,739.779857635498,,,,38.93579864501953,-120.06609344482422,38.9412841796875,-120.06476593017578,1.0692118677426987,2.247220516204834,0.038537152111530304,247,74.0,74.0,74.0,,132668,767332,
17:30:00.000-04:00,17:45:00.000-04:00,37.842068400502974,256.13750126957893,,,,38.94131088256836,-120.06554412841797,38.942535400390625,-120.0645980834961,1.0944397990598052,2.935370683670044,0.1378922313451767,3,,,,,547268,352732,
17:45:00.000-04:00,18:00:00.000-04:00,121.7332276816036,97.7673806640867,,,,38.94245910644531,-120.0655517578125,38.942588806152344,-120.0654067993164,0.9687355917328105,3.611121654510498,0.05467807129025459,10,,,,,62091,,837909
18:00:00.000-04:00,18:15:00.000-04:00,129.49999202922533,89.97199869986116,,,,38.942508697509766,-120.06553649902344,38.942569732666016,-120.06539154052734,0.892607436151664,3.2091901302337646,0.10285378992557526,,,,,,,,900000
18:15:00.000-04:00,18:30:00.000-04:00,108.83239083091533,294.48883211643124,,,,38.941017150878906,-120.06555938720703,38.94255447387695,-120.06449890136719,1.0290402760789479,2.618109941482544,0.017236515879631042,180,,,,,22092,272192,605716
18:30:00.000-04:00,18:45:00.000-04:00,59.19361041527794,674.8654276251793,,,,38.93492126464844,-120.06587982177734,38.941001892089844,-120.06462097167969,1.1571851862909583,8.431714057922363,0.03532572463154793,3,,,,,153645,712737,
18:45:00.000-04:00,19:00:00.000-04:00,16.921874959103548,,,,,38.92222213745117,-120.04730987548828,38.92954635620117,-120.02354431152344,12.123366841006664,20.00004005432129,3.5527594089508057,,,,,,,,
19:00:00.000-04:00,19:15:00.000-04:00,20.364407373109515,12.424082167006997,,,,38.91146469116211,-120.00434875488281,38.91276931762695,-120.0037841796875,1.7168547279593538,13.150973320007324,0.9464142918586731,25,,,,,772660,58044,
19:15:00.000-04:00,19:30:00.000-04:00,20.91319384704357,14.93752824559066,,,,38.9112548828125,-120.00409698486328,38.91147994995117,-120.00358581542969,0.5328695476055145,0.6519202589988708,0.4138188362121582,69,,,,,832703,67297,
19:30:00.000-04:00,19:45:00.000-04:00,16.921874865045936,,,,,38.911312103271484,-120.00389862060547,38.91141891479492,-120.00370025634766,,,,,,,,,900000,,
19:45:00.000-04:00,20:00:00.000-04:00,16.921874865045936,,,,,38.91153335571289,-120.00370025634766,38.91153335571289,-120.00370025634766,,,,,,,,,900000,,
20:00:00.000-04:00,20:15:00.000-04:00,16.921874865045936,,,,,38.91117858886719,-120.00415802001953,38.91148376464844,-120.00301361083984,0.9689409687478318,1.220041036605835,0.5048762559890747,2,,,,,900000,,
20:15:00.000-04:00,20:30:00.000-04:00,16.921874865045936,,,,,38.91121292114258,-120.004150390625,38.9112434387207,-120.00409698486328,,,,,,,,,900000,,
20:30:00.000-04:00,20:45:00.000-04:00,16.921874865045936,,,,,38.911155700683594,-120.00444030761719,38.911930084228516,-120.0035171508789,0.7047012521963588,2.4400205612182617,0.5199999809265137,,,,,,900000,,
20:45:00.000-04:00,21:00:00.000-04:00,16.921874865045936,,,,,38.91119384765625,-120.0042495727539,38.9115104675293,-120.00389862060547,1.2814992624126733,3.8600516319274902,0.6400781273841858,,,,,,900000,,
21:00:00.000-04:00,21:15:00.000-04:00,16.921874865045936,,,,,38.91139221191406,-120.00423431396484,38.91142654418945,-120.0041732788086,,,,,,,,,900000,,
21:15:00.000-04:00,21:30:00.000-04:00,16.921874865045936,,,,,38.911277770996094,-120.00416564941406,38.91142654418945,-120.00376892089844,2.0012714862823486,5.010010242462158,0.7300000190734863,,,,,,900000,,
